NOMBRE,CATEGORIA,COD_REG,NOM_REG,COD_PROV,NOM_PROV,COD_COM,NOM_COM,COD_DIS,NOM_DIS,ID,Norte,Este UTM Huso 19 Sur,point_latitude,point_longitude
La Cobriza,Otros,03,Atacama,032,Cha±aral,03202,Diego De Almagro,0320204,Inca de Oro,2463,7034575.45640000000,405848.13541000000,-26.80713088,-69.94732959
Suerte,Otros,03,Atacama,032,Cha±aral,03202,Diego De Almagro,0320204,Inca de Oro,2464,7035040.82439000000,405972.04565900000,-26.80293806,-69.94604811
Santa Emilia,Otros,03,Atacama,032,Cha±aral,03202,Diego De Almagro,0320204,Inca de Oro,2465,7035413.60487000000,405165.71726300000,-26.79951832,-69.9541318
Cantera,Otros,03,Atacama,032,Cha±aral,03202,Diego De Almagro,0320204,Inca de Oro,2466,7034546.78523000000,402809.43291000000,-26.80718184,-69.97790285
BelÚn Cuatro,Otros,03,Atacama,032,Cha±aral,03202,Diego De Almagro,0320204,Inca de Oro,2467,7034937.46451000000,404237.85399500000,-26.8037535,-69.96350233
Clara,Otros,03,Atacama,032,Cha±aral,03202,Diego De Almagro,0320204,Inca de Oro,2468,7033988.05649000000,402812.85802000000,-26.81222601,-69.97791166
Cerquita,Otros,03,Atacama,032,Cha±aral,03202,Diego De Almagro,0320204,Inca de Oro,2469,7032642.22379000000,402846.05909200000,-26.82437784,-69.97768188
Miraflores,Otros,03,Atacama,032,Cha±aral,03202,Diego De Almagro,0320204,Inca de Oro,2470,7030981.83689000000,404469.81981200000,-26.83947898,-69.96147004
La Quebradita,Otros,03,Atacama,032,Cha±aral,03202,Diego De Almagro,0320204,Inca de Oro,2471,7031494.60343000000,404042.51435900000,-26.83482068,-69.96573092
Sebastopol,Otros,03,Atacama,032,Cha±aral,03202,Diego De Almagro,0320204,Inca de Oro,2472,7032153.87470000000,403822.75726900000,-26.82885398,-69.96789175
La C¾ndor,Otros,03,Atacama,032,Cha±aral,03202,Diego De Almagro,0320204,Inca de Oro,2473,7032776.51979000000,404494.23726600000,-26.82327908,-69.96108756
Coni,Otros,03,Atacama,032,Cha±aral,03202,Diego De Almagro,0320204,Inca de Oro,2474,7032800.93724000000,405287.80453500000,-26.82311266,-69.95310083
San Rafael,Otros,03,Atacama,032,Cha±aral,03202,Diego De Almagro,0320204,Inca de Oro,2475,7035451.94790000000,408296.68351100000,-26.79938091,-69.92263155
Regalada,Otros,03,Atacama,032,Cha±aral,03202,Diego De Almagro,0320201,Diego de Almagro,2476,7089312.35143000000,385701.55054900000,-26.31150103,-70.14508779
Lac¾n,Otros,03,Atacama,032,Cha±aral,03202,Diego De Almagro,0320201,Diego de Almagro,2477,7089500.82279000000,384924.10618200000,-26.30973718,-70.15285844
JerusalÚn,Otros,03,Atacama,032,Cha±aral,03202,Diego De Almagro,0320201,Diego de Almagro,2478,7088582.02490000000,385701.55054900000,-26.31809416,-70.14515261
MarÝa,Otros,03,Atacama,032,Cha±aral,03202,Diego De Almagro,0320201,Diego de Almagro,2479,7087945.93406000000,385772.22731000000,-26.32384222,-70.14450106
Transelec,Otros,03,Atacama,032,Cha±aral,03202,Diego De Almagro,0320201,Diego de Almagro,2480,7080023.51560000000,396202.19510800000,-26.39616123,-70.040653
Quebrada Cuevitas,Otros,03,Atacama,031,Copiap¾,03102,Caldera,0310202,Totoralillo,2481,7035952.96108000000,334938.04492000000,-26.78812878,-70.66043649
El Relincho,Otros,03,Atacama,031,Copiap¾,03102,Caldera,0310202,Totoralillo,2482,7033157.82368000000,324778.94146600000,-26.81211899,-70.76298398
Parque Incabus,Otros,03,Atacama,031,Copiap¾,03102,Caldera,0310202,Totoralillo,2483,7030246.73412000000,322132.87097100000,-26.83805577,-70.79000991
Los Mellizos,Otros,03,Atacama,031,Copiap¾,03102,Caldera,0310202,Totoralillo,2484,7029252.97110000000,321849.60675600000,-26.84698775,-70.79300079
Kßren,Otros,03,Atacama,031,Copiap¾,03102,Caldera,0310202,Totoralillo,2485,7028829.24289000000,322033.81185400000,-26.85083511,-70.79120779
Quebrada Pajonales,Otros,03,Atacama,031,Copiap¾,03102,Caldera,0310202,Totoralillo,2486,7027466.45542000000,321869.55253100000,-26.86311242,-70.7930543
Caleta Zenteno,Otros,03,Atacama,031,Copiap¾,03102,Caldera,0310202,Totoralillo,2487,7028508.47124000000,320323.06435800000,-26.85351073,-70.80846541
Alcantarilla,Otros,03,Atacama,031,Copiap¾,03102,Caldera,0310202,Totoralillo,2488,7021743.71826000000,321838.77261500000,-26.91475216,-70.79417977
Santuario De La Naturaleza,Otros,03,Atacama,031,Copiap¾,03102,Caldera,0310202,Totoralillo,2489,7017891.60833000000,322254.89560200000,-26.94956777,-70.7905399
Quebrada La Hormiga,Otros,03,Atacama,031,Copiap¾,03102,Caldera,0310202,Totoralillo,2490,7017863.21532000000,326257.30205900000,-26.95032997,-70.75024041
Rodillo,Aldea,03,Atacama,031,Copiap¾,03102,Caldera,0310202,Totoralillo,2491,7014654.38987000000,322540.99919600000,-26.97881772,-70.78812037
Punta Obispito,Otros,03,Atacama,031,Copiap¾,03102,Caldera,0310202,Totoralillo,2492,7042863.73395000000,326329.73075600000,-26.72471972,-70.74604634
Caleta Obispito,Otros,03,Atacama,031,Copiap¾,03102,Caldera,0310202,Totoralillo,2493,7041054.10904000000,327354.65105800000,-26.7411776,-70.73599376
